,number
1977-01-01,54
1977-02-01,38
1977-03-01,42
1977-04-01,43
1977-05-01,53
1977-06-01,66
1977-07-01,56
1977-08-01,53
1977-09-01,46
1977-10-01,54
1977-11-01,35
1977-12-01,41
1978-01-01,30
1978-02-01,32
1978-03-01,30
1978-04-01,30
1978-05-01,10
1978-06-01,16
1978-07-01,17
1978-08-01,13
1978-09-01,23
1978-10-01,19
1978-11-01,46
1978-12-01,55
1979-01-01,52
1979-02-01,34
1979-03-01,48
1979-04-01,40
1979-05-01,44
1979-06-01,18
1979-07-01,26
1979-08-01,32
1979-09-01,32
1979-10-01,33
1979-11-01,43
1979-12-01,54
1980-01-01,51
1980-02-01,78
1980-03-01,87
1980-04-01,98
1980-05-01,65
1980-06-01,79
1980-07-01,85
1980-08-01,101
1980-09-01,89
1980-10-01,78
1980-11-01,81
1980-12-01,79
1981-01-01,93
1981-02-01,103
1981-03-01,106
1981-04-01,38
1981-05-01,52
1981-06-01,58
1981-07-01,70
1981-08-01,39
1981-09-01,38
1981-10-01,27
1981-11-01,29
1981-12-01,34
1982-01-01,34
1982-02-01,30
1982-03-01,26
1982-04-01,25
1982-05-01,35
1982-06-01,25
1982-07-01,22
1982-08-01,72
1982-09-01,75
1982-10-01,90
1982-11-01,64
1982-12-01,57
1983-01-01,55
1983-02-01,54
1983-03-01,57
1983-04-01,63
1983-05-01,68
1983-06-01,51
1983-07-01,56
1983-08-01,57
1983-09-01,57
1983-10-01,54
1983-11-01,63
1983-12-01,69
1984-01-01,74
1984-02-01,83
1984-03-01,93
1984-04-01,107
1984-05-01,117
1984-06-01,108
1984-07-01,78
1984-08-01,101
1984-09-01,153
1984-10-01,146
1984-11-01,182
1984-12-01,187
1985-01-01,175
1985-02-01,165
1985-03-01,164
1985-04-01,136
1985-05-01,77
1985-06-01,76
1985-07-01,94
1985-08-01,88
1985-09-01,31
1985-10-01,44
1985-11-01,35
1985-12-01,42
1986-01-01,51
1986-02-01,58
1986-03-01,49
1986-04-01,59
1986-05-01,78
1986-06-01,108
1986-07-01,86
1986-08-01,98
1986-09-01,123
1986-10-01,117
1986-11-01,108
1986-12-01,106
1987-01-01,91
1987-02-01,95
1987-03-01,100
1987-04-01,81
1987-05-01,94
1987-06-01,45
1987-07-01,52
1987-08-01,68
1987-09-01,74
1987-10-01,83
1987-11-01,71
1987-12-01,64
1988-01-01,68
1988-02-01,57
1988-03-01,51
1988-04-01,99
1988-05-01,93
1988-06-01,159
1988-07-01,150
1988-08-01,57
1988-09-01,35
1988-10-01,12
1988-11-01,7
1988-12-01,16
1989-01-01,18
1989-02-01,18
1989-03-01,23
1989-04-01,2
1989-05-01,6
1989-06-01,5
1989-07-01,4
1989-08-01,1
1989-09-01,9
1989-10-01,30
1989-11-01,44
1989-12-01,33
1990-01-01,14
1990-02-01,10
1990-03-01,4
1990-04-01,7
1990-05-01,12
1990-06-01,16
1990-07-01,14
1990-08-01,3
1990-09-01,4
1990-10-01,2
1990-11-01,12
1990-12-01,11
1991-01-01,21
1991-02-01,23
1991-03-01,43
1991-04-01,33
1991-05-01,52
1991-06-01,47
1991-07-01,41
1991-08-01,32
1991-09-01,44
1991-10-01,64
1991-11-01,73
1991-12-01,87
1992-01-01,76
1992-02-01,71
1992-03-01,77
1992-04-01,126
1992-05-01,112
1992-06-01,107
1992-07-01,90
1992-08-01,117
1992-09-01,95
1992-10-01,93
1992-11-01,49
1992-12-01,35
1993-01-01,27
1993-02-01,25
1993-03-01,23
1993-04-01,22
1993-05-01,11
1993-06-01,2
1993-07-01,1
1993-08-01,1
1993-09-01,12
1993-10-01,13
1993-11-01,19
1993-12-01,19
1994-01-01,33
1994-02-01,40
1994-03-01,91
1994-04-01,74
1994-05-01,94
1994-06-01,129
1994-07-01,117
1994-08-01,67
1994-09-01,62
1994-10-01,54
1994-11-01,77
1994-12-01,51
1995-01-01,48
1995-02-01,48
1995-03-01,37
1995-04-01,30
1995-05-01,15
1995-06-01,32
1995-07-01,45
1995-08-01,61
1995-09-01,63
1995-10-01,56
1995-11-01,56
1995-12-01,67
1996-01-01,54
1996-02-01,37
1996-03-01,54
1996-04-01,37
1996-05-01,35
1996-06-01,13
1996-07-01,11
1996-08-01,12
1996-09-01,16
1996-10-01,18
1996-11-01,21
1996-12-01,16
1997-01-01,19
1997-02-01,20
1997-03-01,21
1997-04-01,25
1997-05-01,37
1997-06-01,60
1997-07-01,67
1997-08-01,76
1997-09-01,103
1997-10-01,110
1997-11-01,34
1997-12-01,18
1998-01-01,10
1998-02-01,9
1998-03-01,5
1998-04-01,2
1998-05-01,4
1998-06-01,2
1998-07-01,1
1998-08-01,3
1998-09-01,0
1998-10-01,0
1998-11-01,2
1998-12-01,17
1999-01-01,18
1999-02-01,38
1999-03-01,49
1999-04-01,26
1999-05-01,34
1999-06-01,54
1999-07-01,60
1999-08-01,61
1999-09-01,76
1999-10-01,78
1999-11-01,67
1999-12-01,69
2000-01-01,63
2000-02-01,64
2000-03-01,64
2000-04-01,103
2000-05-01,86
2000-06-01,62
2000-07-01,62
2000-08-01,84
2000-09-01,84
2000-10-01,79
2000-11-01,74
2000-12-01,51
2001-01-01,39
2001-02-01,37
2001-03-01,31
2001-04-01,0
2001-05-01,10
2001-06-01,8
2001-07-01,5
2001-08-01,2
2001-09-01,1
2001-10-01,1
2001-11-01,7
2001-12-01,15
2002-01-01,14
2002-02-01,9
2002-03-01,9
2002-04-01,6
2002-05-01,16
2002-06-01,28
2002-07-01,38
2002-08-01,79
2002-09-01,116
2002-10-01,132
2002-11-01,136
2002-12-01,142
2003-01-01,99
2003-02-01,116
2003-03-01,96
2003-04-01,129
2003-05-01,92
2003-06-01,111
2003-07-01,88
2003-08-01,65
2003-09-01,58
2003-10-01,37
2003-11-01,56
2003-12-01,38
2004-01-01,45
2004-02-01,30
2004-03-01,37
2004-04-01,47
2004-05-01,45
2004-06-01,44
2004-07-01,59
2004-08-01,70
2004-09-01,72
2004-10-01,95
2004-11-01,55
2004-12-01,44
2005-01-01,49
2005-02-01,53
2005-03-01,59
2005-04-01,39
2005-05-01,64
2005-06-01,41
2005-07-01,42
2005-08-01,42
2005-09-01,30
2005-10-01,21
2005-11-01,13
2005-12-01,29
2006-01-01,33
2006-02-01,33
2006-03-01,30
2006-04-01,30
2006-05-01,29
2006-06-01,23
2006-07-01,13
2006-08-01,7
2006-09-01,34
2006-10-01,18
2006-11-01,19
2006-12-01,17
2007-01-01,2
2007-02-01,1
2007-03-01,0
2007-04-01,1
2007-05-01,0
2007-06-01,0
2007-07-01,0
2007-08-01,1
2007-09-01,0
2007-10-01,2
2007-11-01,20
2007-12-01,23
2008-01-01,35
2008-02-01,32
2008-03-01,43
2008-04-01,59
2008-05-01,65
2008-06-01,57
2008-07-01,62
2008-08-01,90
2008-09-01,87
2008-10-01,108
2008-11-01,89
2008-12-01,72
2009-01-01,70
2009-02-01,65
2009-03-01,61
2009-04-01,48
2009-05-01,37
2009-06-01,81
2009-07-01,105
2009-08-01,109
2009-09-01,92
2009-10-01,126
2009-11-01,102
2009-12-01,154
2010-01-01,115
2010-02-01,133
2010-03-01,102
2010-04-01,84
2010-05-01,78
2010-06-01,62
2010-07-01,64
2010-08-01,64
2010-09-01,51
2010-10-01,40
2010-11-01,42
2010-12-01,38
2011-01-01,39
2011-02-01,41
2011-03-01,42
2011-04-01,59
2011-05-01,80
2011-06-01,96
2011-07-01,96
2011-08-01,93
2011-09-01,59
2011-10-01,48
2011-11-01,37
2011-12-01,24
2012-01-01,23
2012-02-01,20
2012-03-01,22
2012-04-01,19
2012-05-01,0
2012-06-01,0
2012-07-01,1
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,1
2013-04-01,14
2013-05-01,33
2013-06-01,18
2013-07-01,16
2013-08-01,7
2013-09-01,4
2013-10-01,13
2013-11-01,1
2013-12-01,0
2014-01-01,1
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,3
2014-06-01,0
2014-07-01,0
2014-08-01,11
2014-09-01,10
2014-10-01,12
2014-11-01,11
2014-12-01,19
2015-01-01,16
2015-02-01,19
2015-03-01,22
2015-04-01,22
2015-05-01,13
2015-06-01,12
2015-07-01,11
2015-08-01,26
2015-09-01,39
2015-10-01,61
2015-11-01,87
2015-12-01,82
